Week,Gasoline
11/13/20,8258
11/20/20,8129
11/27/20,7973
12/4/20,7600
12/11/20,7975
12/18/20,8022
12/25/20,8128
1/1/21,7441
1/8/21,7532
1/15/21,8112
1/22/21,7833
1/29/21,7770
2/5/21,7857
2/12/21,8407
2/19/21,7207
2/26/21,8148
3/5/21,8726
3/12/21,8442
3/19/21,8616
3/26/21,8891
4/2/21,8781
4/9/21,8944
4/16/21,9104
4/23/21,8877
4/30/21,8864
